name,marker,marker_size,problem,param,runner,retcode,total_time,sat,ce,sat1_time,sat1_ce,nbsat,start_time
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,19,3,P3,k4,cegar3,0,3.97s,SAT,3,0.17s,2,84,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,19,3,P3,k6,cegar3,0,10.43s,SAT,3,0.14s,2,259,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,20,3,P3,k1,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,20,3,P3,k2,cegar3,0,0.18s,UNSAT,3,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,20,3,P3,k4,cegar3,0,1.71s,SAT,4,0.24s,3,28,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,20,3,P3,k6,cegar3,0,27.73s,SAT,8,0.14s,2,384,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,21,3,P3,k1,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,21,3,P3,k2,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,21,3,P3,k4,cegar3,0,0.13s,UNSAT,2,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,21,3,P3,k6,cegar3,0,3.19s,SAT,4,0.30s,4,56,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,2,1,P3,k1,cegar3,0,0.32s,SAT,3,0.15s,2,4,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,2,1,P3,k2,cegar3,0,1.54s,SAT,6,0.16s,2,24,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,2,1,P3,k4,cegar3,0,11.51s,SAT,10,0.26s,3,146,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,2,1,P3,k6,cegar3,0,29.06s,SAT,19,0.24s,3,224,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,22,3,P3,k1,cegar3,0,0.07s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,22,3,P3,k2,cegar3,0,0.21s,UNSAT,3,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,22,3,P3,k4,cegar3,0,3.03s,SAT,5,0.47s,5,41,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,22,3,P3,k6,cegar3,0,190.25s,SAT,8,0.39s,5,1321,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,23,3,P3,k1,cegar3,0,0.09s,SAT,1,0.09s,1,1,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,23,3,P3,k2,cegar3,0,0.65s,SAT,2,0.18s,2,11,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,23,3,P3,k4,cegar3,0,21.78s,SAT,5,0.19s,2,312,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,23,3,P3,k6,cegar3,0,87.08s,SAT,9,0.15s,2,806,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,2,3,P3,k1,cegar3,0,0.07s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,2,3,P3,k2,cegar3,0,0.20s,UNSAT,3,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,2,3,P3,k4,cegar3,0,0.57s,UNSAT,6,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,2,3,P3,k6,cegar3,0,21.33s,SAT,7,0.34s,5,341,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,24,3,P3,k1,cegar3,0,0.08s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,24,3,P3,k2,cegar3,0,0.13s,UNSAT,2,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,24,3,P3,k4,cegar3,0,2.74s,SAT,5,0.31s,4,48,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,24,3,P3,k6,cegar3,0,18.08s,SAT,4,0.20s,3,354,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,25,3,P3,k1,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,25,3,P3,k2,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,25,3,P3,k4,cegar3,0,0.72s,SAT,4,0.23s,3,10,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,25,3,P3,k6,cegar3,0,5.04s,SAT,4,0.19s,3,117,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,26,3,P3,k1,cegar3,0,0.10s,SAT,1,0.10s,1,1,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,26,3,P3,k2,cegar3,0,0.60s,SAT,2,0.18s,2,11,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,26,3,P3,k4,cegar3,0,20.25s,SAT,4,0.15s,2,336,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,26,3,P3,k6,cegar3,0,107.40s,SAT,9,0.16s,2,954,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,27,3,P3,k1,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,27,3,P3,k2,cegar3,0,0.12s,UNSAT,2,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,27,3,P3,k4,cegar3,0,4.72s,SAT,3,0.10s,1,95,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,27,3,P3,k6,cegar3,0,30.84s,SAT,6,0.23s,3,475,0.00s
