name,problem,param,runner,retcode,total_time,sat,ce,sat1_time,sat1_ce,nbsat,start_time
S4_2019_Biane_and_Delaplace,P3,k2,cegar4,0,0.07s,SAT,1,0.02s,1,9,0.00s
S4_2019_Biane_and_Delaplace,P3,k2,complementary,0,0.05s,SAT,0,0.02s,0,9,0.00s
S4_2019_Biane_and_Delaplace,P3,k2,naive,0,0.60s,SAT,0,0.04s,0,9,0.00s
S4_2019_Biane_and_Delaplace,P3,k4,cegar1,0,0.30s,SAT,13,0.03s,2,9,0.00s
S4_2019_Biane_and_Delaplace,P3,k4,cegar2,0,0.29s,SAT,13,0.03s,2,9,0.00s
S4_2019_Biane_and_Delaplace,P3,k4,cegar3,0,0.08s,SAT,1,0.02s,1,9,0.00s
S4_2019_Biane_and_Delaplace,P3,k4,cegar4,0,0.07s,SAT,1,0.02s,1,9,0.00s
S4_2019_Biane_and_Delaplace,P3,k4,complementary,0,0.05s,SAT,0,0.02s,0,9,0.00s
S4_2019_Biane_and_Delaplace,P3,k4,naive,0,0.40s,SAT,0,0.05s,0,9,0.00s
S4_2019_Biane_and_Delaplace,P3,k6,cegar1,0,0.28s,SAT,13,0.03s,2,9,0.00s
S4_2019_Biane_and_Delaplace,P3,k6,cegar2,0,0.29s,SAT,13,0.03s,2,9,0.00s
S4_2019_Biane_and_Delaplace,P3,k6,cegar3,0,0.07s,SAT,1,0.02s,1,9,0.00s
S4_2019_Biane_and_Delaplace,P3,k6,cegar4,0,0.08s,SAT,1,0.02s,1,9,0.00s
S4_2019_Biane_and_Delaplace,P3,k6,complementary,0,0.05s,SAT,0,0.02s,0,9,0.00s
S4_2019_Biane_and_Delaplace,P3,k6,naive,0,0.63s,SAT,0,0.03s,0,9,0.00s
